proposal_link,team_size,team,req_skills,covered_skills,coverage_pct,goodness_ultra,objective,solver_status,candidate_count,candidate_limit
https://www.nsf.gov/pubs/2026/nsf26000/nsf26000.htm,1,['Hayley Gutierrez'],4,4,100.0,0.4,12.826566113810205,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26001/nsf26001.htm,2,"['Robert Smith', 'Jerry Mayo']",6,6,100.0,0.4458333333333333,19.46339699147962,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26002/nsf26002.htm,2,"['Marissa Flores', 'Kendra Meadows']",4,4,100.0,0.4875,13.176253546992982,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26003/nsf26003.htm,2,"['Brandon Campos', 'Jennifer Keller']",4,4,100.0,0.4875,13.179048839689083,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26004/nsf26004.htm,1,['Elizabeth Keller'],4,4,100.0,0.4,13.13382308027349,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26005/nsf26005.htm,1,['Rebecca Pennington'],3,3,100.0,0.4,9.626949222016286,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26006/nsf26006.htm,2,"['Adam Henderson', 'Dawn Nielsen']",4,4,100.0,0.4875,13.083312941875418,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26007/nsf26007.htm,1,['Steven Davis'],2,2,100.0,0.4,6.618431937430133,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26008/nsf26008.htm,2,"['Crystal Soto', 'Hailey Ford']",8,8,100.0,0.440625,26.075528582119706,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26009/nsf26009.htm,3,"['Hayley Gutierrez', 'Seth Moore', 'Samantha Burns']",8,8,100.0,0.496875,25.96874042076743,exact_bruteforce_topN,25,25
https://www.nsf.gov/pubs/2026/nsf26010/nsf26010.htm,1,['Patrick Rivera'],2,2,100.0,0.4,6.411473076250793,exact_bruteforce_topN,25,25
